No.Kec,Ibu Kota Kabupaten,Kabupaten/Kota,Prov,Kec_Kab,Tujuan2,Tujuan1,Prov.1,Tujuan Pesawat,Uang Harian,Es. I,Es. II,Es. III/Gol/IV,Es.IV /Gol/III/II/I,FB,FD,P. Bisnis,P. Ekonomi,Airport Tax,Taxi Jakarta,Taxi Daerah,B,Dlm Kota,Diklat
88,Cilacap,Kab. Cilacap,Jawa Tengah,"Cilacap, Kab. Cilacap","Kab. Cilacap, Jateng","Cilacap, Kab. Cilacap, Jawa Tengah",Jateng,Semarang,370.000,5.728.000,1.998.000,1.201.000,810.000,130.000,95.000,3.861.000,2.182.000,70.000,0,0,400.000,150.000,110.000
89,Cilegon,Cilegon,Banten,Cilegon,"Cilegon, Banten","Cilegon, Banten",Banten,Serang,370.000,5.725.000,2.373.000,1.301.000,724.000,130.000,95.000,100.000,100.000,0,0,0,100.000,150.000,110.000
90,Cimahi,Cimahi,Jawa Barat,Cimahi,"Cimahi, Jabar","Cimahi, Jawa Barat",Jabar,Bandung,430.000,5.812.000,2.755.000,1.298.000,686.000,130.000,95.000,160.000,160.000,0,0,0,160.000,170.000,130.000
91,Ciputat,Kota Tangerang Selatan,Banten,"Ciputat, Kota Tangerang Selatan","Kota Tangerang Selatan, Banten","Ciputat, Kota Tangerang Selatan, Banten",Banten,Serang,370.000,5.725.000,2.373.000,1.301.000,724.000,130.000,95.000,450.000,450.000,0,0,0,450.000,0,0
92,Cirebon,Cirebon,Jawa Barat,Cirebon,"Cirebon, Jabar","Cirebon, Jawa Barat",Jabar,Bandung,430.000,5.812.000,2.755.000,1.298.000,686.000,130.000,95.000,300.000,300.000,0,0,0,300.000,170.000,130.000
93,Ciruas,Kab. Serang,Banten,"Ciruas, Kab. Serang","Kab. Serang, Banten","Ciruas, Kab. Serang, Banten",Banten,Serang,370.000,5.725.000,2.373.000,1.301.000,724.000,130.000,95.000,100.000,100.000,0,0,0,100.000,150.000,110.000
94,Curup,Kab. Rejang Lebong,Bengkulu,"Curup, Kab. Rejang Lebong","Kab. Rejang Lebong, Bengkulu","Curup, Kab. Rejang Lebong, Bengkulu",Bengkulu,Bengkulu,380.000,2.140.000,1.628.000,1.546.000,692.000,130.000,95.000,4.364.000,2.621.000,55.000,0,0,0,150.000,110.000
95,Daik,Kab. Lingga,Kep. Riau,"Daik, Kab. Lingga","Kab. Lingga, Kepulauan Riau","Daik, Kab. Lingga, Kep. Riau",Kepulauan Riau,Tanjung Pinang,370.000,5.772.000,2.318.000,1.297.000,792.000,130.000,95.000,4.867.000,2.888.000,70.000,0,0,0,150.000,110.000
96,Demak,Kab. Demak,Jawa Tengah,"Demak, Kab. Demak","Kab. Demak, Jateng","Demak, Kab. Demak, Jawa Tengah",Jateng,Semarang,370.000,5.728.000,1.998.000,1.201.000,810.000,130.000,95.000,3.861.000,2.342.000,70.000,0,0,400.000,150.000,110.000
97,Denpasar,Denpasar,Bali,Denpasar,"Denpasar, Bali","Denpasar, Bali",Bali,Denpasar,480.000,6.848.000,2.433.000,1.685.000,1.138.000,130.000,95.000,5.305.000,3.262.000,115.000,0,0,0,190.000,140.000
98,Depok,Depok,Jawa Barat,Depok,"Depok, Jabar","Depok, Jawa Barat",Jabar,Bandung,430.000,5.812.000,2.755.000,1.298.000,686.000,130.000,95.000,300.000,300.000,0,0,0,300.000,0,0
99,Dobo,Kab. Kep. Aru,Maluku,"Dobo, Kab. Kep. Aru","Kab. Kep. Aru, Maluku","Dobo, Kab. Kep. Aru, Maluku",Maluku,Ambon,380.000,3.467.000,3.240.000,1.059.000,667.000,130.000,95.000,13.285.000,7.081.000,70.000,0,0,0,150.000,110.000
100,Dolok Sanggul,Kab. Humbang Hasundutan,Sumatera Utara,"Dolok Sanggul, Kab. Humbang Hasundutan","Kab. Humbang Hasundutan, Sumut","Dolok Sanggul, Kab. Humbang Hasundutan, Sumatera Utara",Sumut,Medan,370.000,4.960.000,2.195.000,1.188.000,699.000,130.000,95.000,7.252.000,3.808.000,115.000,0,0,0,150.000,110.000
101,Dompu,Kab. Dompu,Nusa Tenggara Barat,"Dompu, Kab. Dompu","Kab. Dompu, NTB","Dompu, Kab. Dompu, Nusa Tenggara Barat",NTB,Mataram,440.000,4.375.000,2.648.000,1.418.000,907.000,130.000,95.000,5.316.000,3.230.000,85.000,0,0,0,180.000,130.000
102,Donggala,Kab. Donggala,Sulawesi Tengah,"Donggala, Kab. Donggala","Kab. Donggala, Sulteng","Donggala, Kab. Donggala, Sulawesi Tengah",Sulteng,Palu,370.000,4.820.000,1.938.000,1.423.000,745.000,130.000,95.000,9.348.000,5.113.000,55.000,0,0,0,150.000,110.000
103,Dumai,Dumai,Riau,Dumai,"Dumai, Riau","Dumai, Riau",Riau,Pekanbaru,370.000,3.820.000,3.119.000,1.650.000,852.000,130.000,95.000,5.583.000,3.016.000,70.000,0,0,0,150.000,110.000
104,Elelim,Kab. Yalimo,Papua Pegunungan,"Elelim, Kab. Yalimo","Kab. Yalimo, Pagu","Elelim, Kab. Yalimo, Papua",Pagu,Wamena,580.000,5.711.000,4.911.000,3.731.000,1.536.000,130.000,95.000,14.568.000,8.193.000,70.000,0,0,0,230.000,170.000
105,Enarotali,Kab. Paniai,Papua Tengah,"Enarotali, Kab. Paniai","Kab. Paniai, Pate","Enarotali, Kab. Paniai, Papua",Pate,Nabire,580.000,3.859.000,3.318.000,2.521.000,1.038.000,130.000,95.000,14.568.000,8.193.000,70.000,0,0,0,230.000,170.000
106,Ende,Kab. Ende,Nusa Tenggara Timur,"Ende, Kab. Ende","Kab. Ende, NTT","Ende, Kab. Ende, Nusa Tenggara Timur",NTT,Kupang,430.000,3.750.000,2.133.000,1.355.000,688.000,130.000,95.000,9.413.000,5.081.000,60.000,0,0,0,170.000,130.000
107,Enrekang,Kab. Enrekang,Sulawesi Selatan,"Enrekang, Kab. Enrekang","Kab. Enrekang, Sulsel","Enrekang, Kab. Enrekang, Sulawesi Selatan",Sulsel,Makassar,430.000,4.820.000,1.938.000,1.423.000,745.000,130.000,95.000,7.444.000,3.829.000,90.000,0,0,0,170.000,130.000
108,Fakfak,Kab. Fakfak,Papua Barat,"Fakfak, Kab. Fakfak","Kab. Fakfak, Pabar","Fakfak, Kab. Fakfak, Papua Barat",Pabar,Manokwari,480.000,3.872.000,3.341.000,2.056.000,967.000,130.000,95.000,16.226.000,10.824.000,50.000,0,0,0,190.000,140.000
109,Fef,Kab. Tambrauw,Papua Barat Daya,"Fef, Kab. Tambrauw","Kab. Tambrauw, PBD","Fef, Kab. Tambrauw, Papua Barat",PBD,Sorong,480.000,3.872.000,3.341.000,2.056.000,967.000,130.000,95.000,16.226.000,10.824.000,50.000,0,0,0,190.000,140.000
110,Garut,Kab. Garut,Jawa Barat,"Garut, Kab. Garut","Kab. Garut, Jabar","Garut, Kab. Garut, Jawa Barat",Jabar,Bandung,430.000,5.812.000,2.755.000,1.298.000,686.000,130.000,95.000,300.000,300.000,0,0,0,300.000,170.000,130.000
111,Gedong Tataan,Kab. Pesawaran,Lampung,"Gedong Tataan, Kab. Pesawaran","Kab. Pesawaran, Lampung","Gedong Tataan, Kab. Pesawaran, Lampung",Lampung,Bandar Lampung,380.000,4.491.000,2.488.000,1.539.000,580.000,130.000,95.000,2.407.000,1.583.000,51.000,0,0,530.000,150.000,110.000
112,Gianyar,Kab. Gianyar,Bali,"Gianyar, Kab. Gianyar","Kab. Gianyar, Bali","Gianyar, Kab. Gianyar, Bali",Bali,Denpasar,480.000,6.848.000,2.433.000,1.685.000,1.138.000,130.000,95.000,5.305.000,3.262.000,115.000,0,0,0,190.000,140.000
113,Gorontalo,Gorontalo,Gorontalo,Gorontalo,"Gorontalo, Gorontalo","Gorontalo, Gorontalo",Gorontalo,Gorontalo,370.000,4.168.000,3.107.000,1.606.000,955.000,130.000,95.000,7.231.000,4.824.000,60.000,0,0,0,150.000,110.000
114,Gorontalo.,Kab. Gorontalo,Gorontalo,"Gorontalo., Kab. Gorontalo","Kab. Gorontalo, Gorontalo","Gorontalo., Kab. Gorontalo, Gorontalo",Gorontalo,Gorontalo,370.000,4.168.000,3.107.000,1.606.000,955.000,130.000,95.000,7.231.000,4.824.000,60.000,0,0,0,150.000,110.000
